id,name,width,height
gcb ,Chipped Sapphire,1,1
gcg ,Chipped Emerald,1,1
gcr ,Chipped Ruby,1,1
gcv ,Chipped Amethyst,1,1
gcw ,Chipped Diamond,1,1
gcy ,Chipped Topaz,1,1
gfb ,Flawed Sapphire,1,1
gfg ,Flawed Emerald,1,1
gfr ,Flawed Ruby,1,1
gfv ,Flawed Amethyst,1,1
gfw ,Flawed Diamond,1,1
gfy ,Flawed Topaz,1,1
glb ,Flawless Sapphire,1,1
glg ,Flawless Emerald,1,1
glr ,Flawless Ruby,1,1
glv ,Flawless Amethyst,1,1
glw ,Flawless Diamond,1,1
gly ,Flawless Topaz,1,1
gsb ,Sapphire,1,1
gsg ,Emerald,1,1
gsr ,Ruby,1,1
gsv ,Amethyst,1,1
gsw ,Diamond,1,1
gsy ,Topaz,1,1
skc ,Chipped Skull,1,1
skf ,Flawed Skull,1,1
skl ,Flawless Skull,1,1
